seller,address,day
802 BWS,"1127 North Ave, Burlington VT",Thurs
Alpine Mart,"968 Mountain Rd, Stowe VT",Fri
Beer Palate,"188 Boxwood St, Williston VT",Wed
Richmond Beverage,"56 Railroad St, Richmond VT",Tues
Richmod Mobil Mart,"1436 W Main St, Richmond VT",Tues
Route 7 Liquor,"2659 Shelburn Rd, Shelburne VT",Mon
Beverage Baron,"411 N Main St, Barre VT",Mon
Bridge St Butcher,"40 Bridge St, Waitsfield VT",Tues
Sammy's Quick Stop,"264 Mallets Bay Ave, Winooski, VT",Wed
City Market,"82 S Winooski Ave, Burlington VT",Tues
